Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Learning Rate
1,6.8856874634237855,5.245375871658325,0.0667016806722689,0.39285714285714285,[9.999965849158595e-05]
2,6.1843240962309,5.2458542585372925,0.2804621848739496,0.5267857142857143,[9.999863397100895e-05]
3,5.489207408007453,5.1307151317596436,0.40388655462184875,0.4955357142857143,[9.999692645226427e-05]
4,5.215329927556655,5.0482635498046875,0.38235294117647056,0.4598214285714286,[9.999453595867718e-05]
5,4.67812985532424,3.9490453004837036,0.4453781512605042,0.53125,[9.999146252290264e-05]
6,4.245886578279383,3.593063712120056,0.460609243697479,0.6383928571428572,[9.998770618692484e-05]
7,3.7541734611286834,3.1869735717773438,0.49684873949579833,0.5758928571428572,[9.998326700205657e-05]
8,3.2871107073391186,3.3607465028762817,0.5404411764705882,0.5625,[9.997814502893856e-05]
9,2.937292183146757,2.351136088371277,0.5078781512605042,0.6651785714285714,[9.997234033753875e-05]
10,2.7535687965505264,2.819300055503845,0.532563025210084,0.5669642857142857,[9.996585300715116e-05]
11,2.263218704391928,2.5642731189727783,0.5793067226890757,0.6339285714285714,[9.995868312639487e-05]
12,2.1757717272814583,2.772280693054199,0.5404411764705882,0.4910714285714286,[9.99508307932129e-05]
13,1.8157512720893412,1.9243881106376648,0.6260504201680672,0.6830357142857143,[9.994229611487074e-05]
14,1.6702965988832361,2.325250267982483,0.6507352941176471,0.5714285714285714,[9.9933079207955e-05]
15,1.4605896648238688,2.1072866916656494,0.6512605042016807,0.6607142857142857,[9.99231801983717e-05]
16,1.4694239882861866,1.1836658418178558,0.6223739495798319,0.7098214285714286,[9.991259922134466e-05]
17,1.3708476319032556,2.2246885299682617,0.6444327731092436,0.3973214285714286,[9.990133642141359e-05]
18,1.2637558088583105,1.593760371208191,0.6554621848739496,0.6339285714285714,[9.98893919524321e-05]
19,1.1732751025873072,2.0100995302200317,0.6323529411764706,0.5223214285714286,[9.98767659775657e-05]
20,1.1116980384377873,1.3794158697128296,0.6811974789915967,0.625,[9.986345866928941e-05]
21,0.8700313410338234,1.4718336462974548,0.7494747899159664,0.6919642857142857,[9.984947020938557e-05]
22,0.8559199168401606,1.1196605861186981,0.7368697478991596,0.7410714285714286,[9.983480078894124e-05]
23,0.8774883028338937,1.145856261253357,0.7331932773109243,0.59375,[9.981945060834564e-05]
24,0.764110663357903,0.951202780008316,0.7216386554621849,0.7678571428571428,[9.98034198772874e-05]
25,0.793593738008948,0.9151778817176819,0.7552521008403361,0.7008928571428572,[9.978670881475172e-05]
26,0.7585483982282526,1.2148953676223755,0.7400210084033613,0.5,[9.976931764901733e-05]
27,0.7187669855706832,0.8492433726787567,0.7452731092436975,0.7678571428571428,[9.975124661765341e-05]
28,0.6810970323927262,1.1542721688747406,0.7741596638655462,0.6741071428571428,[9.973249596751631e-05]
29,0.6722133685560787,1.1749946475028992,0.7746848739495799,0.5982142857142857,[9.971306595474623e-05]
30,0.673667344976874,0.958266407251358,0.7809873949579832,0.6651785714285714,[9.96929568447637e-05]
31,0.6436718965277952,0.9203724265098572,0.7715336134453782,0.6383928571428572,[9.967216891226589e-05]
32,0.5995432944858775,0.988006055355072,0.7620798319327731,0.7723214285714286,[9.965070244122301e-05]
33,0.5966544107479208,0.8423979580402374,0.7878151260504201,0.6696428571428572,[9.962855772487425e-05]
34,0.6174300102626576,0.9047878086566925,0.7862394957983193,0.6116071428571428,[9.96057350657239e-05]
35,0.5313166301040089,1.0235736668109894,0.8434873949579832,0.6339285714285714,[9.958223477553713e-05]
36,0.5034425188513363,0.9008021056652069,0.828781512605042,0.6696428571428572,[9.955805717533585e-05]
37,0.5212118055890588,1.064848393201828,0.8040966386554622,0.5669642857142857,[9.953320259539421e-05]
38,0.5108938725555644,1.1408218145370483,0.7993697478991596,0.6607142857142857,[9.950767137523414e-05]
39,0.5434396179283366,0.9673630595207214,0.8140756302521008,0.7455357142857143,[9.948146386362068e-05]
40,0.5022233181140002,0.8497109711170197,0.8182773109243698,0.7232142857142857,[9.945458041855729e-05]
41,0.5129555437494727,0.7692179977893829,0.8335084033613446,0.8348214285714286,[9.942702140728085e-05]
42,0.4437116472160115,0.8978427946567535,0.8455882352941176,0.7633928571428572,[9.939878720625674e-05]
43,0.44222075535970573,1.0936031937599182,0.8398109243697478,0.6651785714285714,[9.936987820117364e-05]
44,0.5193794220685959,0.9663049578666687,0.8440126050420168,0.6919642857142857,[9.93402947869383e-05]
45,0.44640273469335895,0.8695605993270874,0.8592436974789917,0.6696428571428572,[9.931003736767013e-05]
46,0.47653314032975364,0.6603794395923615,0.8266806722689076,0.7991071428571428,[9.927910635669562e-05]
47,0.3886919854318394,0.7046736478805542,0.8487394957983193,0.7678571428571428,[9.924750217654282e-05]
48,0.3828139611903359,0.9535280168056488,0.8413865546218487,0.7410714285714286,[9.921522525893545e-05]
49,0.4006668688619838,0.6557537317276001,0.8592436974789917,0.7678571428571428,[9.918227604478707e-05]
50,0.328870238188435,0.6598529815673828,0.888655462184874,0.7946428571428572,[9.914865498419506e-05]
